"ID","ID2","color","z","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality2","quality3"
49,48,"red",0,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,"5","0","1"
50,49,"red",0,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,"5","0","1"
51,50,"red",0,8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,"5","0","1"
54,53,"red",0,8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,"5","0","1"
56,55,"red",0,7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,"5","0","1"
57,56,"red",0,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,"5","0","1"
58,57,"red",0,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,"5","0","1"
59,58,"red",0,7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,"5","0","1"
61,60,"red",0,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,"5","0","1"
62,61,"red",0,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,"5","0","1"
64,63,"red",0,7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,"5","0","1"
65,64,"red",0,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,"5","0","1"
66,65,"red",0,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,"5","0","1"
67,66,"red",0,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,"5","0","1"
68,67,"red",0,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,"5","0","1"
69,68,"red",0,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,"5","0","1"
72,71,"red",0,7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,"5","0","1"
73,72,"red",0,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,"5","0","1"
74,73,"red",0,8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,"4","0","1"
75,74,"red",0,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,"5","0","1"
76,75,"red",0,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,"5","0","1"
77,76,"red",0,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,"5","0","1"
79,78,"red",0,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,"5","0","1"
80,79,"red",0,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,"4","0","1"
81,80,"red",0,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,"5","0","1"
82,81,"red",0,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,"5","0","1"
83,82,"red",0,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,"5","0","1"
84,83,"red",0,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,"5","0","1"
86,85,"red",0,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,"5","0","1"
88,87,"red",0,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,"5","0","1"
89,88,"red",0,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,"5","0","1"
90,89,"red",0,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,"5","0","1"
91,90,"red",0,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,"5","0","1"
93,92,"red",0,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,"5","0","1"
94,93,"red",0,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,"5","0","1"
95,94,"red",0,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,"4","0","1"
97,96,"red",0,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,"5","0","1"
98,97,"red",0,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,"5","0","1"
99,98,"red",0,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,"5","0","1"
104,103,"red",0,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,"5","0","1"
105,104,"red",0,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,"5","0","1"
106,105,"red",0,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,"5","0","1"
107,106,"red",0,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,"5","0","1"
108,107,"red",0,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,"5","0","1"
110,109,"red",0,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,"5","0","1"
111,110,"red",0,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,"5","0","1"
112,111,"red",0,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,"5","0","1"
113,112,"red",0,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,"5","0","1"
115,114,"red",0,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,"5","0","1"
121,120,"red",0,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,"5","0","1"
123,122,"red",0,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,"5","0","1"
124,123,"red",0,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,"5","0","1"
125,124,"red",0,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,"5","0","1"
126,125,"red",0,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,"5","0","1"
127,126,"red",0,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,"5","0","1"
128,127,"red",0,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,"5","0","1"
130,129,"red",0,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,"5","0","1"
131,130,"red",0,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,"5","0","1"
132,131,"red",0,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,"5","0","1"
133,132,"red",0,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,"5","0","1"
136,135,"red",0,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,"5","0","1"
137,136,"red",0,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,"5","0","1"
138,137,"red",0,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,"5","0","1"
139,138,"red",0,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,"5","0","1"
140,139,"red",0,7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,"5","0","1"
141,140,"red",0,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,"5","0","1"
142,141,"red",0,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,"5","0","1"
144,143,"red",0,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,"5","0","1"
146,145,"red",0,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,"5","0","1"
147,146,"red",0,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,"5","0","1"
148,147,"red",0,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,"5","0","1"
152,151,"red",0,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,"4","0","1"
153,152,"red",0,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,"5","0","1"
154,153,"red",0,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,"5","0","1"
155,154,"red",0,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,"5","0","1"
156,155,"red",0,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,"5","0","1"
157,156,"red",0,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,"5","0","1"
158,157,"red",0,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,"5","0","1"
159,158,"red",0,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,"5","0","1"
161,160,"red",0,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,"5","0","1"
162,161,"red",0,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,"4","0","1"
164,163,"red",0,7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,"5","0","1"
165,164,"red",0,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,"5","0","1"
166,165,"red",0,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,"5","0","1"
167,166,"red",0,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,"5","0","1"
168,167,"red",0,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,"4","0","1"
170,169,"red",0,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,"5","0","1"
171,170,"red",0,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,"4","0","1"
175,174,"red",0,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,"5","0","1"
176,175,"red",0,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,"5","0","1"
177,176,"red",0,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,"5","0","1"
179,178,"red",0,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,"5","0","1"
180,179,"red",0,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,"5","0","1"
181,180,"red",0,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,"5","0","1"
182,181,"red",0,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,"5","0","1"
183,182,"red",0,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,"5","0","1"
184,183,"red",0,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,"5","0","1"
186,185,"red",0,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,"5","0","1"
187,186,"red",0,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,"5","0","1"
188,187,"red",0,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,"5","0","1"
189,188,"red",0,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,"5","0","1"
190,189,"red",0,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,"5","0","1"
191,190,"red",0,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,"5","0","1"
193,192,"red",0,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,"5","0","1"
194,193,"red",0,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,"5","0","1"
195,194,"red",0,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,"5","0","1"
196,195,"red",0,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,"5","0","1"
197,196,"red",0,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,"5","0","1"
200,199,"red",0,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,"4","0","1"
202,201,"red",0,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,"5","0","1"
203,202,"red",0,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,"5","0","1"
204,203,"red",0,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,"5","0","1"
208,207,"red",0,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,"5","0","1"
209,208,"red",0,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,"5","0","1"
214,213,"red",0,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,"5","0","1"
216,215,"red",0,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,"5","0","1"
217,216,"red",0,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,"5","0","1"
218,217,"red",0,8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,"5","0","1"
219,218,"red",0,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,"5","0","1"
220,219,"red",0,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,"5","0","1"
222,221,"red",0,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,"5","0","1"
223,222,"red",0,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,"5","0","1"
225,224,"red",0,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,"4","0","1"
228,227,"red",0,9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,"5","0","1"
230,229,"red",0,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,"5","0","1"
234,233,"red",0,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,"5","0","1"
241,240,"red",0,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,"5","0","1"
247,246,"red",0,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,"5","0","1"
248,247,"red",0,8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,"5","0","1"
253,252,"red",0,11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,"5","0","1"
254,253,"red",0,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,"5","0","1"
256,255,"red",0,8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,"5","0","1"
257,256,"red",0,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,"5","0","1"
258,257,"red",0,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,"5","0","1"
259,258,"red",0,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,"5","0","1"
261,260,"red",0,7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,"5","0","1"
262,261,"red",0,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,"4","0","1"
263,262,"red",0,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,"5","0","1"
264,263,"red",0,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,"5","0","1"
265,264,"red",0,12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,"5","0","1"
267,266,"red",0,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,"4","0","1"
273,272,"red",0,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,"5","0","1"
274,273,"red",0,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,"5","0","1"
275,274,"red",0,7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,"5","0","1"
283,282,"red",0,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,"5","0","1"
285,284,"red",0,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,"5","0","1"
286,285,"red",0,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,"5","0","1"
290,289,"red",0,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,"5","0","1"
292,291,"red",0,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,"5","0","1"
296,295,"red",0,10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,"5","0","1"
297,296,"red",0,10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,"5","0","1"
298,297,"red",0,7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,"5","0","1"
299,298,"red",0,7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,"5","0","1"
300,299,"red",0,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,"5","0","1"
303,302,"red",0,8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,"5","0","1"
304,303,"red",0,7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,"5","0","1"
305,304,"red",0,8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,"5","0","1"
307,306,"red",0,7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,"5","0","1"
314,313,"red",0,8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,"5","0","1"
315,314,"red",0,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,"5","0","1"
317,316,"red",0,9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,"5","0","1"
322,321,"red",0,9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,"5","0","1"
323,322,"red",0,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,"5","0","1"
328,327,"red",0,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,"5","0","1"
330,329,"red",0,10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,"5","0","1"
334,333,"red",0,8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,"5","0","1"
338,337,"red",0,7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,"5","0","1"
346,345,"red",0,7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,"5","0","1"
353,352,"red",0,7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,"5","0","1"
354,353,"red",0,13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,"5","0","1"
357,356,"red",0,11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,"5","0","1"
361,360,"red",0,8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,"5","0","1"
363,362,"red",0,11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,"5","0","1"
364,363,"red",0,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,"5","0","1"
368,367,"red",0,10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,"5","0","1"
369,368,"red",0,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,"5","0","1"
371,370,"red",0,6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,"5","0","1"
374,373,"red",0,7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,"5","0","1"
385,384,"red",0,7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,"5","0","1"
393,392,"red",0,9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,"5","0","1"
394,393,"red",0,8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,"5","0","1"
395,394,"red",0,12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,"5","0","1"
397,396,"red",0,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,"5","0","1"
400,399,"red",0,8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,"5","0","1"
401,400,"red",0,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,"5","0","1"
405,404,"red",0,7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,"5","0","1"
410,409,"red",0,12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,"4","0","1"
412,411,"red",0,9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,"5","0","1"
413,412,"red",0,7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,"5","0","1"
415,414,"red",0,8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,"5","0","1"
416,415,"red",0,8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,"5","0","1"
418,417,"red",0,7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,"5","0","1"
420,419,"red",0,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,"5","0","1"
423,422,"red",0,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,"5","0","1"
425,424,"red",0,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,"5","0","1"
429,428,"red",0,9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,"5","0","1"
432,431,"red",0,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,"5","0","1"
434,433,"red",0,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,"5","0","1"
436,435,"red",0,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,"5","0","1"
440,439,"red",0,7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,"5","0","1"
447,446,"red",0,12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,"5","0","1"
448,447,"red",0,9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,"5","0","1"
455,454,"red",0,7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,"5","0","1"
457,456,"red",0,8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,"5","0","1"
458,457,"red",0,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,"5","0","1"
460,459,"red",0,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,"3","0","1"
462,461,"red",0,8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,"5","0","1"
